# Supplementary Table ST15. List of Pfam domain models in chromatin proteins.,,,,,,
Entry,SimChrom-SL,Total number of Pfam domains,Number of distinct Pfam models,pfamA_ids,Domain annotations,Distinct domain annotations
P35249,DNA-acting enzymes,3,3,"AAA,Rep_fac_C,RCF1-5-like_lid",,
P28340,DNA-acting enzymes,3,3,"DNA_pol_B,DNA_pol_B_exo1,zf-C4pol",,
Q9HAH1,Non-Housekeeping DNA-binding TFs,8,3,"KRAB,zf-C2H2,zf-C2H2_4",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9P2P1,DNA replication,3,3,"RNase_Zc3h12a,Integrase_H2C2,RT_RNaseH_2",,
Q9UJL9,Non-Housekeeping DNA-binding TFs,8,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P40938,DNA-acting enzymes,3,3,"DNA_pol3_delta2,RFC_C,RCF1-5-like_lid",,
P40692,DNA-acting enzymes,3,3,"DNA_mis_repair,HATPase_c_3,Mlh1_C",,
P18858,DNA-acting enzymes,3,3,"DNA_ligase_A_M,DNA_ligase_A_N,DNA_ligase_A_C",,
Q9UBG7,Non-Housekeeping DNA-binding TFs,3,3,"BTD,LAG1-DNAbind,TIG_SUH",,
Q9P1Y5,DNA replication,3,3,"CAMSAP_CKK,CAMSAP_CH,CAMSAP_CC1",,
Q9P0L1,Non-Housekeeping DNA-binding TFs,15,3,"KRAB,SCAN,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9HAK2,Non-Housekeeping DNA-binding TFs,3,3,"TIG,COE1_DBD,COE1_HLH",,
P11387,DNA-acting enzymes,3,3,"Topoisom_I,Topoisom_I_N,Topo_C_assoc",,
O43196,DNA-acting enzymes,3,3,"MutS_V,MutS_IV,MutS_III",,
Q9H4W6,Non-Housekeeping DNA-binding TFs,3,3,"TIG,COE1_DBD,COE1_HLH",,
Q9BQ04,RNA processing,3,2,"RRM_1,zf-CCHC",RNA binding;RNA binding,RNA binding
Q9H2P0,Housekeeping DNA-binding TFs,2,2,"Homeodomain,ADNP_N",DNA binding,DNA binding
Q96GM8,RNA processing,3,2,"zf-CCCH,CAF1",,
Q9H0M5,Housekeeping DNA-binding TFs,17,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9C0F3,Housekeeping DNA-binding TFs,13,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q96I25,RNA processing,2,2,"RRM_1,G-patch",RNA binding,RNA binding
Q9H334,Housekeeping DNA-binding TFs,2,2,"Forkhead,FOXP-CC",,
Q9BX82,Housekeeping DNA-binding TFs,15,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9BY31,Housekeeping DNA-binding TFs,17,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9BWM5,Housekeeping DNA-binding TFs,12,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9H707,Housekeeping DNA-binding TFs,6,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q96B26,RNA processing,2,2,"RNase_PH,RNase_PH_C",,
Q92797,RNA processing,2,2,"SYMPK_PTA1_N,Symplekin_C",,
Q8IX01,RNA processing,2,2,"G-patch,Surp",,
Q9NR11,Housekeeping DNA-binding TFs,8,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8N1G2,RNA processing,2,2,"G-patch,FtsJ",,
Q9H5J0,Non-Housekeeping DNA-binding TFs,2,2,"BTB,zf-C2H2",DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
Q9HCX3,Housekeeping DNA-binding TFs,13,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8WWY3,RNA processing,2,2,"Nop,Prp31_C",,
Q9HCK0,Housekeeping DNA-binding TFs,5,2,"BTB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
Q9HCG1,Housekeeping DNA-binding TFs,21,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9HBT8,Housekeeping DNA-binding TFs,11,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9H4T2,Housekeeping DNA-binding TFs,5,2,"SCAN,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q92841,RNA processing,2,2,"DEAD,Helicase_C",Chromatin remodeling,Chromatin remodeling
Q9HB58,Housekeeping DNA-binding TFs,2,2,"SAND,HSR",,
Q9H9D4,Housekeeping DNA-binding TFs,9,2,"PRDM2_PR,zf-C2H2","DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;Histone methylation, writer","DNA binding;Histone methylation, writer"
Q92917,RNA processing,2,2,"KOW,G-patch_2",,
Q92945,RNA processing,6,2,"DUF1897,KH_1",,
Q9BQ52,RNA processing,2,2,"Lactamase_B_2,Lactamase_B_4",,
Q9H5H4,Housekeeping DNA-binding TFs,14,2,"RNA_pol_Rpb1_R,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9H582,Housekeeping DNA-binding TFs,2,2,"zf-C2H2,zf-WIZ",DNA binding,DNA binding
Q9BSK1,Housekeeping DNA-binding TFs,9,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9BWF3,RNA processing,3,2,"RRM_1,zf-CCHC",RNA binding;RNA binding,RNA binding
Q9BRH9,Housekeeping DNA-binding TFs,13,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q96CS4,Housekeeping DNA-binding TFs,11,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q96K75,Housekeeping DNA-binding TFs,8,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q96K62,Housekeeping DNA-binding TFs,5,2,"BTB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
Q9H0S4,RNA processing,2,2,"DEAD,Helicase_C",Chromatin remodeling,Chromatin remodeling
Q9H307,RNA processing,2,2,"Pinin_SDK_memA,Pinin_SDK_N",,
Q96HQ0,Housekeeping DNA-binding TFs,12,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q96H86,Housekeeping DNA-binding TFs,7,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9NQG5,RNA processing,2,2,"CID,CREPT",,
Q9H3D4,Non-Housekeeping DNA-binding TFs,2,2,"P53,SAM_2",,
O14777,Centromere-associated,2,2,"Ndc80_HEC,DUF5595",,
Q9BR84,Housekeeping DNA-binding TFs,10,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q96BF6,Housekeeping DNA-binding TFs,2,2,"BTB,BEN",Dimerization/oligomerization,Dimerization/oligomerization
Q9NW64,RNA processing,2,2,"RRM_1,STL11_N",RNA binding,RNA binding
Q9H2C1,Non-Housekeeping DNA-binding TFs,3,2,"Homeodomain,LIM",DNA binding,DNA binding
Q9UGR2,RNA processing,2,2,"zf-CCCH,TPR_8",,
Q9UHI6,RNA processing,2,2,"DEAD,Helicase_C",Chromatin remodeling,Chromatin remodeling
Q9UJV9,RNA processing,2,2,"DEAD,Helicase_C",Chromatin remodeling,Chromatin remodeling
Q8WY36,Housekeeping DNA-binding TFs,3,2,"HMG_box,DUF2028",DNA binding,DNA binding
Q8WXB4,Housekeeping DNA-binding TFs,14,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q96N38,Non-Housekeeping DNA-binding TFs,11,2,"zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q96KM6,Housekeeping DNA-binding TFs,3,2,"ZNF512_C2HC,zf-C2H2",DNA binding,DNA binding
Q96LW1,Housekeeping DNA-binding TFs,14,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q96LW9,Housekeeping DNA-binding TFs,7,2,"SCAN,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9BQA5,Housekeeping DNA-binding TFs,3,2,"zf-C2H2,zf-C2H2_4",DNA binding;DNA binding,DNA binding
Q9BUQ8,RNA processing,2,2,"DEAD,Helicase_C",Chromatin remodeling,Chromatin remodeling
Q99717,Housekeeping DNA-binding TFs,2,2,"MH1,MH2",,
Q86XP3,RNA processing,2,2,"DEAD,Helicase_C",Chromatin remodeling,Chromatin remodeling
Q9BXP5,RNA processing,2,2,"ARS2,SERRATE_Ars2_N",,
Q99459,Housekeeping DNA-binding TFs,3,2,"Myb_Cef,Myb_DNA-bind_6",,
Q96SQ5,Housekeeping DNA-binding TFs,13,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q96SE7,Housekeeping DNA-binding TFs,19,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q96RE7,Housekeeping DNA-binding TFs,2,2,"BTB,BEN",Dimerization/oligomerization,Dimerization/oligomerization
Q96PQ6,Housekeeping DNA-binding TFs,13,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9C0J8,RNA processing,7,2,"Collagen,WD40",Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding,Histone binding
Q96NI8,Housekeeping DNA-binding TFs,12,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q96NG8,Housekeeping DNA-binding TFs,10,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9H0D6,RNA processing,2,2,"XRN_N,XRN_M",,
Q96N77,Housekeeping DNA-binding TFs,6,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q96N20,Housekeeping DNA-binding TFs,6,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q96MU6,Housekeeping DNA-binding TFs,15,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9NV72,Housekeeping DNA-binding TFs,8,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9H7R5,Non-Housekeeping DNA-binding TFs,19,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q86U06,RNA processing,3,2,"RRM_1,RBM39linker",RNA binding;RNA binding,RNA binding
Q8WWY6,Methylated DNA binding,2,2,"MBD_C,MBDa",DNA methylation;PPI,DNA methylation;PPI
P61978,RNA processing,4,2,"ROKNT,KH_1",,
Q9UIS9,Methylated DNA binding,4,2,"MBD,zf-CXXC",DNA binding;DNA binding;DNA binding;DNA methylation,DNA binding;DNA methylation
Q96I27,Non-Housekeeping DNA-binding TFs,6,2,"zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q01081,RNA processing,3,2,"RRM_1,zf-CCCH",RNA binding,RNA binding
Q9UFC0,Methylated DNA binding,2,2,"LRR_1,WD40",Histone binding,Histone binding
Q05048,RNA processing,7,2,"CSTF1_dimer,WD40",Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding,Histone binding
Q06265,RNA processing,2,2,"RNase_PH,RNase_PH_C",,
Q9P1Z0,Methylated DNA binding,2,2,"BTB,zf-C2H2",DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
Q9H0M4,Methylated DNA binding,2,2,"PWWP,zf-CW","DNA binding;Histone methylation, reader","DNA binding;Histone methylation, reader"
Q96JB3,Non-Housekeeping DNA-binding TFs,5,2,"BTB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
Q99626,Methylated DNA binding,2,2,"Homeodomain,Caudal_act",DNA binding,DNA binding
Q10570,RNA processing,2,2,"CPSF_A,MMS1_N",,
Q969G2,Methylated DNA binding,3,2,"Homeodomain,LIM",DNA binding,DNA binding
Q12872,RNA processing,3,2,"Surp,DRY_EERY",,
Q13123,RNA processing,2,2,"RED_C,RED_N",,
Q13148,RNA processing,3,2,"RRM_1,TDP43_N",RNA binding;RNA binding,RNA binding
Q92826,Methylated DNA binding,2,2,"Homeodomain,HoxA13_N",DNA binding,DNA binding
A0PJY2,Non-Housekeeping DNA-binding TFs,6,2,"zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9HC78,Non-Housekeeping DNA-binding TFs,6,2,"BTB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
A1YPR0,Non-Housekeeping DNA-binding TFs,3,2,"BTB,zf-C2H2",DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
Q96HZ4,Non-Housekeeping DNA-binding TFs,2,2,"HLH,Hairy_orange",,
Q96BR9,Non-Housekeeping DNA-binding TFs,3,2,"BTB,zf-C2H2",DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
A8MQ14,Non-Housekeeping DNA-binding TFs,31,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q96H40,Non-Housekeeping DNA-binding TFs,10,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
A8K0S8,Non-Housekeeping DNA-binding TFs,2,2,"Homeobox_KN,Meis_PKNOX_N",,
P31943,RNA processing,4,2,"RRM_1,zf-RNPHF",RNA binding;RNA binding;RNA binding,RNA binding
A6NP11,Non-Housekeeping DNA-binding TFs,10,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
A6NNF4,Non-Housekeeping DNA-binding TFs,15,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
A6NM28,Non-Housekeeping DNA-binding TFs,9,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
A6NDR6,Non-Housekeeping DNA-binding TFs,2,2,"Homeobox_KN,Meis_PKNOX_N",,
A6NK75,Non-Housekeeping DNA-binding TFs,14,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P35637,RNA processing,2,2,"RRM_1,zf-RanBP",RNA binding,RNA binding
A6NHJ4,Non-Housekeeping DNA-binding TFs,12,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P38919,RNA processing,2,2,"DEAD,Helicase_C",Chromatin remodeling,Chromatin remodeling
A6NFD8,Non-Housekeeping DNA-binding TFs,2,2,"HLH,Hairy_orange",,
P49756,RNA processing,2,2,"RRM_1,PWI",RNA binding,RNA binding
P52597,RNA processing,3,2,"RRM_1,zf-RNPHF",RNA binding;RNA binding,RNA binding
Q96JC4,Non-Housekeeping DNA-binding TFs,10,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q13838,RNA processing,2,2,"DEAD,Helicase_C",Chromatin remodeling,Chromatin remodeling
Q7Z3Z4,RNA processing,2,2,"PAZ,Piwi",,
Q8NHZ7,Methylated DNA binding,2,2,"MBD_C,MBDa",DNA methylation;PPI,DNA methylation;PPI
Q9Y222,Housekeeping DNA-binding TFs,3,2,"Myb_DNA-binding,DMTF1_N",DNA binding;DNA binding,DNA binding
Q9UPG8,Housekeeping DNA-binding TFs,4,2,"zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding,DNA binding
Q2TAY7,RNA processing,6,2,"LisH_TPL,WD40",Histone binding;Histone binding;Histone binding;Histone binding;Histone binding,Histone binding
Q32P51,RNA processing,3,2,"RRM_1,HnRNPA1_LC",RNA binding;RNA binding,RNA binding
Q9UKN5,Housekeeping DNA-binding TFs,4,2,"PRDM2_PR,zf-C2H2","DNA binding;DNA binding;DNA binding;Histone methylation, writer","DNA binding;Histone methylation, writer"
Q9UK10,Housekeeping DNA-binding TFs,16,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9UFB7,Housekeeping DNA-binding TFs,7,2,"BTB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
Q96LX8,Non-Housekeeping DNA-binding TFs,5,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9P2F9,Housekeeping DNA-binding TFs,8,2,"zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q6ZN17,RNA processing,3,2,"CSD,zf-CCHC",,
Q9NZL3,Housekeeping DNA-binding TFs,17,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8WTR7,Housekeeping DNA-binding TFs,16,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9NZI7,Housekeeping DNA-binding TFs,2,2,"CP2,SAM_3",,
Q9NYW8,Housekeeping DNA-binding TFs,15,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9NYT6,Housekeeping DNA-binding TFs,19,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9NXT0,Housekeeping DNA-binding TFs,10,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q7L014,RNA processing,2,2,"DEAD,Helicase_C",Chromatin remodeling,Chromatin remodeling
Q9Y2G7,Housekeeping DNA-binding TFs,13,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9Y2H8,Housekeeping DNA-binding TFs,10,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q96KN3,Non-Housekeeping DNA-binding TFs,2,2,"Homeobox_KN,Meis_PKNOX_N",,
Q15428,RNA processing,2,2,"zf-met,SF3A2",,
Q8NAP3,Methylated DNA binding,4,2,"BTB,zf-C2H2",DNA binding;DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
Q14498,RNA processing,3,2,"RRM_1,RBM39linker",RNA binding;RNA binding,RNA binding
Q15020,RNA processing,3,2,"RRM_1,Suf",RNA binding;RNA binding,RNA binding
P47902,Methylated DNA binding,2,2,"Homeodomain,Caudal_act",DNA binding,DNA binding
Q15024,RNA processing,2,2,"RNase_PH,RNase_PH_C",,
P19544,Methylated DNA binding,4,2,"WT1,zf-C2H2",DNA binding;DNA binding;DNA binding,DNA binding
Q15393,RNA processing,2,2,"CPSF_A,MMS1_N",,
A6NJ08,Methylated DNA binding,2,2,"MBD_C,MBDa",DNA methylation;PPI,DNA methylation;PPI
Q9Y2P7,Housekeeping DNA-binding TFs,15,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
A6NE82,Methylated DNA binding,2,2,"MBD_C,MBDa",DNA methylation;PPI,DNA methylation;PPI
A6NDZ8,Methylated DNA binding,2,2,"MBD_C,MBDa",DNA methylation;PPI,DNA methylation;PPI
A0A1B0GVZ6,Methylated DNA binding,2,2,"MBD_C,MBDa",DNA methylation;PPI,DNA methylation;PPI
Q9Y6X8,Housekeeping DNA-binding TFs,4,2,"Homeodomain,zf_C2H2_ZHX",DNA binding;DNA binding;DNA binding,DNA binding
Q9H8G1,Non-Housekeeping DNA-binding TFs,12,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9Y473,Housekeeping DNA-binding TFs,14,2,"KRAB,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
